0 0 10
0.1 0 20
0.2 0 30
0.3 0 100
0.4 0 100
0.5 0 100
0.6 0 100
0.7 0 100
0.8 0 30
0.9 0 20
1 0 0
0 0.01 0
0.1 0.01 20
0.2 0.01 39.6
0.3 0.01 88.8
0.4 0.01 100
0.5 0.01 100
0.6 0.01 100
0.7 0.01 88.8
0.8 0.01 39.6
0.9 0.01 18.4
1 0.01 0
0 0.02 0
0.1 0.02 19.936
0.2 0.02 44.336
0.3 0.02 82.72
0.4 0.02 98.208
0.5 0.02 100
0.6 0.02 98.208
0.7 0.02 82.72
0.8 0.02 44.08
0.9 0.02 18.848
1 0.02 0
0 0.03 0
0.1 0.03 20.6502
0.2 0.03 46.5734
0.3 0.03 79.0566
0.4 0.03 96.0166
0.5 0.03 99.4266
0.6 0.03 96.0166
0.7 0.03 79.0157
0.8 0.03 46.2253
0.9 0.03 19.8694
1 0.03 0
0 0.04 0
0.1 0.04 21.4939
0.2 0.04 47.623
0.3 0.04 76.5729
0.4 0.04 93.8486
0.5 0.04 98.3354
0.6 0.04 93.8421
0.7 0.04 76.4894
0.8 0.04 47.2548
0.9 0.04 20.9073
1 0.04 0
0 0.05 0
0.1 0.05 22.2355
0.2 0.05 48.0744
0.3 0.05 74.7051
0.4 0.05 91.8024
0.5 0.05 96.8986
0.6 0.05 91.7846
0.7 0.05 74.5883
0.8 0.05 47.7167
0.9 0.05 21.7777
1 0.05 0
0 0.06 0
0.1 0.06 22.8121
0.2 0.06 48.2011
0.3 0.06 73.1797
0.4 0.06 89.8822
0.5 0.06 95.2649
0.6 0.06 89.8514
0.7 0.06 73.0402
0.8 0.06 47.8659
0.9 0.06 22.4435
1 0.06 0
0 0.07 0
0.1 0.07 23.2244
0.2 0.07 48.1354
0.3 0.07 71.8555
0.4 0.07 88.071
0.5 0.07 93.5375
0.6 0.07 88.0278
0.7 0.07 71.7021
0.8 0.07 47.8262
0.9 0.07 22.9201
1 0.07 0
0 0.08 0
0.1 0.08 23.4942
0.2 0.08 47.9449
0.3 0.08 70.6548
0.4 0.08 86.3512
0.5 0.08 91.7813
0.6 0.08 86.2972
0.7 0.08 70.4941
0.8 0.08 47.6614
0.9 0.08 23.2379
1 0.08 0
0 0.09 0
0.1 0.09 23.6473
0.2 0.09 47.6664
0.3 0.09 69.5326
0.4 0.09 84.7086
0.5 0.09 90.0351
0.6 0.09 84.6462
0.7 0.09 69.3694
0.8 0.09 47.4069
0.9 0.09 23.4276
1 0.09 0
0 0.1 0
0.1 0.1 23.7068
0.2 0.1 47.3219
0.3 0.1 68.4622
0.4 0.1 83.1327
0.5 0.1 88.3206
0.6 0.1 83.0641
0.7 0.1 68.2997
0.8 0.1 47.0842
0.9 0.1 23.5159
1 0.1 0
0 0.11 0
0.1 0.11 23.6921
0.2 0.11 46.9259
0.3 0.11 67.427
0.4 0.11 81.6155
0.5 0.11 86.6495
0.6 0.11 81.5428
0.7 0.11 67.2675
0.8 0.11 46.7077
0.9 0.11 23.5243
1 0.11 0
0 0.12 0
0.1 0.12 23.6188
0.2 0.12 46.4887
0.3 0.12 66.417
